,pl,be,uk,ru,bg,sl,cs,en
184,Mstisław Rostropowicz,Мсціслаў Растраповіч,Мстислав Ростропович,Мстислав Ростропович,Мстислав Ростропович,Mstislav Rostropovič,Mstislav Rostropovič,Mstislav Rostropovich
185,Faustyna Kowalska,Фаўстына Кавальская,Фаустина Ковальська,Фаустина Ковальская,Фаустина Ковалска,Favstina Kowalska,Maria Faustyna Kowalska,Faustina Kowalska
186,Eugène Delacroix,Эжэн Дэлакруа,Ежен Делакруа,Эжен Делакруа,Йожен Дьолакроа,Eugène Delacroix,Eugène Delacroix,Eugène Delacroix
187,Jan Kalwin,Жан Кальвін,Жан Кальвін,Жан Кальвин,Жан Калвин,Jean Calvin,Jan Kalvín,John Calvin
188,Huldrych Zwingli,Ульрых Цвінглі,Ульріх Цвінглі,Ульрих Цвингли,Улрих Цвингли,Ulrich Zwingli,Ulrich Zwingli,Huldrych Zwingli
189,Salvador Allende,Сальвадор Альендэ,Сальвадор Альєнде,Сальвадор Альенде,Салвадор Алиенде,Salvador Allende,Salvador Allende,Salvador Allende
190,George Lucas,Джордж Лукас,Джордж Лукас,Джордж Лукас,Джордж Лукас,George Lucas,George Lucas,George Lucas
191,Alfred Hitchcock,Альфрэд Хічкок,Альфред Гічкок,Альфред Хичкок,Алфред Хичкок,Alfred Hitchcock,Alfred Hitchcock,Alfred Hitchcock
192,Thomas Alva Edison,Томас Эдысан,Алва Томас,Томас Эдисон,Томас Едисън,Thomas Alva Edison,Thomas Alva Edison,Thomas Edison
193,Olga Korbut,Вольга Корбут,Ольга Корбут,Ольга Корбут,Олга Корбут,Olga Korbut,Olga Korbutová,Olga Korbut
194,Krzysztof Kolumb,Хрыстафор Калумб,Христофор Колумб,Христофор Колумб,Христофор Колумб,Krištof Kolumb,Kryštof Kolumbus,Christopher Columbus
195,Galileusz,Галілеа Галілей,Галілео Галілей,Галилео Галилей,Галилео Галилей,Galileo Galilei,Galileo Galilei,Galileo Galilei
196,Gustav Klimt,Густаў Клімт,Густав Клімт,Густав Климт,Густав Климт,Gustav Klimt,Gustav Klimt,Gustav Klimt
197,Mikołaj Kopernik,Мікалай Капернік,Миколай Коперник,Николай Коперник,Николай Коперник,Nikolaj Kopernik,Mikuláš Koperník,Nicolaus Copernicus
198,Klemens I,Клімент I,Климент I,Климент I,Климент I,Papež Klemen I,Klement I,Pope Clement I
199,Urban VII,Урбан VII,Урбан VII,Урбан VII,Урбан VII,Papež Urban VII,Urban VII,Pope Urban VII
200,Ewaryst ,Эварыст,Еварист,Эварист ,Еварист,Papež Evarist,Evaristus,Pope Evaristus
201,Jarosław I Mądry,Яраслаў Уладзіміравіч,Ярослав Мудрий,Ярослав Владимирович Мудрый,Ярослав I,Jaroslav Modri,Jaroslav I. Moudrý,Yaroslav the Wise
202,Pius I,Пій I,Пій I,Пий I,Пий I,Papež Pij I,Pius I,Pope Pius I
203,Johannes Gutenberg,Іаган Гутэнберг,Йоганн Гутенберг,Иоганн Гутенберг,Йоханес Гутенберг,Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg
204,Abraham Ortelius,Абрахам Артэлій,Абрагам Ортеліус,Аврам Ортелий,Абрахам Ортелий,Abraham Ortelius,Abraham Ortelius,Abraham Ortelius
205,George W. Bush,Джордж Буш-малодшы,Вокер Джордж,Джордж Буш,Джордж Уокър Буш,George Walker Bush,George W. Bush,George W. Bush
206,Beda Czcigodny,Беда Вялебны,Беда Преподобний,Беда Достопочтенный,Беда Достопочтени,Beda Častitljivi,Beda Ctihodný,Bede
207,Arystoteles,Арыстоцель,Арістотель,Аристотель,Аристотел,Aristotel,Aristotelés,Aristotle
208,Isaac Albéniz,Ісак Альбеніс,Ісаак Альбеніс,Исаак Альбенис,Исак Албенис,Isaac Albéniz,Isaac Albéniz,Isaac Albéniz
209,Marija Šerifović,Марыя Шэрыфавіч,Марія Шерифович,Мария Шерифович,Мария Шерифович,Marija Šerifović,Marija Šerifovićová,Marija Šerifović
210,Regiomontanus,Іаган Рэгіямантан,Реґіомонтан,Региомонтан,Йохан Региомонтан,Regiomontan,Regiomontanus,Regiomontanus
211,Szimon Peres,Шыман Перэс,Шимон Перес,Шимон Перес,Шимон Перес,Šimon Peres,Šimon Peres,Shimon Peres
212,Salvador Dalí,Сальвадор Далі,Сальвадор Далі,Сальвадор Дали,Салвадор Дали,Salvador Dalí,Salvador Dalí,Salvador Dalí
213,Platon,Платон,Платон,Платон,Платон,Platon,Platón,Plato
214,Diego Velázquez,Дыега Веласкес,Дієго Веласкес,Диего Веласкес,Диего Веласкес,Diego Velázquez,Diego Velázquez,Diego Velázquez
215,Vincent van Gogh,Вінцэнт ван Гог,ван Вінсент,Винсент Ван Гог,Винсент ван Гог,Vincent van Gogh,Vincent van Gogh,Vincent van Gogh
216,Ichirō Mizuki,Іціра Мідзукі,Мідзукі Ітіро,Итиро Мидзуки,Ичиро Мидзуки,Ičiro Mizuki,Ičiró Mizuki,Ichirou Mizuki
217,Elżbieta II,Лізавета II,Єлизавета II,Елизавета II,Елизабет II,Elizabeta II. Britanska,Alžběta II,Elizabeth II
218,Adam Mickiewicz,Адам Міцкевіч,Адам Міцкевич,Адам Мицкевич,Адам Мицкевич,Adam Mickiewicz,Adam Mickiewicz,Adam Mickiewicz
219,Tukidydes,Фукідыд,Фукідід,Фукидид,Тукидид,Tukidid,Thúkydidés,Thucydides
220,Pablo Neruda,Пабла Нэруда,Пабло Неруда,Пабло Неруда,Пабло Неруда,Pablo Neruda,Pablo Neruda,Pablo Neruda
221,Paul McCartney,Пол Мак-Картні,Пол Маккартні,Пол Маккартни,Пол Маккартни,Paul McCartney,Paul McCartney,Paul McCartney
222,Anaklet,Анаклет,Анакліт,Клет ,Анаклет I,Papež Anaklet I,Anaklét,Pope Anacletus
223,Sykstus I,Сікст I,Сікст I,Сикст I,Сикст I,Papež Sikst I,Sixtus I,Pope Sixtus I
224,Telesfor ,Тэлесфор,Телесфор ,Телесфор ,Телесфор ,Papež Telesfor,Telesforus,Telesphorus
225,Hygin ,Гігін ,Гігін,Гигин ,Хигин ,Papež Higin,Hyginus,Gaius Julius Hyginus
226,Marc Chagall,Марк Шагал,Марк Шагал,Марк Шагал,Марк Шагал,Marc Chagall,Marc Chagall,Marc Chagall
227,Zygmunt II August,Жыгімонт II Аўгуст,Сигізмунд II Август,Сигизмунд II Август,Зигмунт II Август,Sigismund II. Avgust,Zikmund II. August,Sigismund II Augustus
228,Anicet ,Аніцэт ,Анікет,Аникет ,Аникет,Papež Anicet,Anicetus,Pope Anicetus
229,Soter ,Сотар ,Сотер ,Сотер ,Сотер,Papež Soter,Soter,Pope Soter
230,Eleuteriusz ,Алеўтэр ,Елевтерій,Елевферий ,Елевтерий,Papež Elevterij,Eleutherus,Pope Eleutherius
231,Józef Ignacy Kraszewski,Юзаф Крашэўскі,Юзеф Крашевський,Юзеф Крашевский,Юзеф Крашевски,Józef Ignacy Kraszewski,Józef Ignacy Kraszewski,Józef Ignacy Kraszewski
232,Piotr I Wielki,Пётр I ,Петро I,Пётр I,Петър I ,Peter Veliki,Petr I. Veliký,Peter I
233,Perykles,Перыкл,Перікл,Перикл,Перикъл,Periklej,Periklés,Pericles
234,Filip II Macedoński,Філіп II Македонскі,Філіпп II Македонський,Филипп II Македонский,Филип II Македонски,Filip II. Makedonski,Filip II. Makedonský,Philip II of Macedon
235,Łarysa Geniusz,Ларыса Геніюш,Лариса Геніюш,Лариса Гениюш,Лариса Гениюш,Larysa Hienijuš,Larysa Henijuš,Larysa Hienijuš
236,Kazimierz IV Jagiellończyk,Казімір IV Ягелончык,Казимир IV Ягеллончик,Казимир IV,Кажимеж IV Ягелончик,Kazimir IV. Poljski,Kazimír IV. Jagellonský,Casimir IV Jagiellon
237,Rudolf Diesel,Рудольф Дызель,Рудольф Дізель,Рудольф Дизель,Рудолф Дизел,Rudolf Diesel,Rudolf Diesel,Rudolf Diesel
238,Eleanor Roosevelt,Элеанора Рузвельт,Елеонора Рузвельт,Элеонора Рузвельт,Елинор Рузвелт,Eleanor Roosevelt,Eleanor Rooseveltová,Eleanor Roosevelt
239,Claude Monet,Клод Манэ,Клод Моне,Клод Моне,Клод Моне,Claude Monet,Claude Monet,Claude Monet
240,Che Guevara,Чэ Гевара,Ернесто Че Гевара,Эрнесто Че Гевара,Че Гевара,Che Guevara,Che Guevara,Che Guevara
241,Fidel Castro,Фідэль Кастра,Фідель Кастро,Фидель Кастро,Фидел Кастро,Fidel Castro,Fidel Castro,Fidel Castro
242,Jan II Kazimierz Waza,Ян II Казімір Ваза,Ян II Казимир,Ян II Казимир,Ян II Кажимеж,Ivan II. Poljski,Jan II. Kazimír Vasa,John II Casimir Vasa
243,Tadeusz Wolański,Тадэвуш Валянскі,Тадеуш Волянський,Тадеуш Воланский,Тадеуш Волянски,Tadeusz Wolanski,Tadeusz Wolański,Tadeusz Wolański
244,Wincenty Ferreriusz,Вінцэнт Ферэр,Вінсент Ферер,Викентий Феррер,Висент Ферер,Vincencij Ferrer,Vincenc Ferrerský,Vincent Ferrer
245,Heinrich Hertz,Генрых Герц,Генріх Герц,Генрих Герц,Хайнрих Херц,Heinrich Rudolf Hertz,Heinrich Hertz,Heinrich Hertz
246,Piotr II Romanow,Пётр II,Петро II Олексійович,Пётр II,Петър II ,Peter II. Ruski,Petr II. Ruský,Peter II
247,Iwan VI Romanow,Іван VI,Іван VI Антонович,Иван VI,Иван VI,Ivan VI. Ruski,Ivan VI. Antonovič,Ivan VI of Russia
248,Katarzyna I,Кацярына I ,Катерина I,Екатерина I,Екатерина I,Katarina I. Ruska,Kateřina I. Ruská,Catherine I of Russia
249,Anna Romanowa,Ганна Іванаўна ,Анна Іванівна,Анна Иоанновна,Анна Ивановна,Ana Ruska,Anna Ivanovna,Anna of Russia
250,Piotr III Romanow,Пётр III,Петро III,Пётр III,Петър III ,Peter III. Ruski,Petr III. Ruský,Peter III
251,Jean le Rond d’Alembert,Жан ля Рон д’Аламбер,Жан д'Аламбер,Жан Д’Аламбер,Жан льо Рон д'Аламбер,Jean le Rond d'Alembert,Jean le Rond d'Alembert,Jean le Rond d'Alembert
252,Charles Darwin,Чарльз Дарвін,Чарлз Дарвін,Чарлз Дарвин,Чарлз Дарвин,Charles Darwin,Charles Darwin,Charles Darwin
253,Antonín Dvořák,Антанін Дворжак,Антонін Дворжак,Антонин Дворжак,Антонин Дворжак,Antonín Leopold Dvořák,Antonín Dvořák,Antonín Dvořák
254,René Descartes,Рэнэ Дэкарт,Рене Декарт,Рене Декарт,Рене Декарт,René Descartes,René Descartes,René Descartes
255,Wasyl II Ślepy,Васіль II,Василь II Темний,Василий II Тёмный,Василий II Тъмни,Vasilij II. Vasiljevič,Vasilij II,Vasily II of Moscow
256,Johannes Kepler,Іаган Кеплер,Йоганн Кеплер,Иоганн Кеплер,Йохан Кеплер,Johannes Kepler,Johannes Kepler,Johannes Kepler
257,Uładzimir Karatkiewicz,Уладзімір Караткевіч,Володимир Короткевич,Владимир Короткевич,Уладзимир Караткевич,Uładzimir Karatkievič,Uladzimir Karatkevič,Uladzimir Karatkievich
258,Aleksandr Suworow,Аляксандр Сувораў,Олександр Суворов,Александр Суворов,Александър Суворов,Aleksander Suvorov,Alexandr Suvorov,Alexander Suvorov
259,Jan z Damaszku,Іван Дамаскін,Іван Дамаскин,Иоанн Дамаскин,Йоан Дамаскин,Janez Damaščan,Jan z Damašku,John of Damascus
260,Iwan III Srogi,Іван III,Іван III Васильович,Иван III Васильевич,Иван III,Ivan III. Vasiljevič,Ivan III,Ivan III of Russia
261,Elżbieta Romanowa,Лізавета Пятроўна,Єлизавета Петрівна,Елизавета Петровна,Елисавета ,Elizabeta Ruska,Alžběta Petrovna,Elisaveta
262,Johann Sebastian Bach,Іаган Себасцьян Бах,Себастьян Йоганн,Иоганн Бах,Йохан Себастиан Бах,Johann Sebastian Bach,Johann Sebastian Bach,Johann Sebastian Bach
263,Aleksander I Romanow,Аляксандр I ,Олександр I,Александр I,Александър I ,Aleksander I. Ruski,Alexandr I. Pavlovič,Alexander I
264,Mikołaj I Romanow,Мікалай I ,Микола I ,Николай I,Николай I ,Nikolaj I. Ruski,Mikuláš I. Pavlovič,Nicholas I
265,Philip José Farmer,Філіп Хасэ Фармер,Філіп Фармер,Филип Фармер,Филип Фармър,Philip José Farmer,Philip José Farmer,Philip José Farmer
266,Henryk Sienkiewicz,Генрык Сянкевіч,Генрик Сенкевич,Генрик Сенкевич,Хенрик Сенкевич,Henryk Sienkiewicz,Henryk Sienkiewicz,Henryk Sienkiewicz
267,Richard Stallman,Рычард Столман,Річард Столмен,Ричард Столлман,Ричард Столман,Richard Matthew Stallman,Richard Stallman,Richard Stallman
268,Mesrop Masztoc,Месроп Маштоц,Месроп Маштоц,Месроп Маштоц,Месроп Мащоц,Mesrop Maštoc,Mesrop Maštoc,Mesrop Mashtots
269,Aleksy I Romanow,Аляксей Раманаў,Олексій Михайлович,Алексей Михайлович,Алексей ,Aleksej Ruski,Alexej I. Michajlovič,Alexey
270,Fiodor I,Фёдар I ,Федір I Іванович,Фёдор Иванович,Фьодор I,Fjodor I. Ruski,Fjodor I,Feodor I of Russia
271,Fiodor III Romanow,Фёдар III ,Федір Олексійович,Фёдор III Алексеевич,Фьодор III,Fjodor III. Ruski,Fjodor III. Alexejevič,Feodor III of Russia
272,Michał I Romanow,Міхаіл Фёдаравіч ,Михайло I Федорович,Михаил Фёдорович,Михаил ,Mihael Ruski,Michail I. Fjodorovič,Mikhail
273,Anna Leopoldowna,Ганна Леапольдаўна,Анна Леопольдівна,Анна Леопольдовна,Анна Леополдовна,Ana Leopoldovna,Anna Leopoldovna,Anna Leopoldovna
