,pl,be,uk,ru,bg,sl,cs,en
3352,Jan od Krzyża,Ян ад Крыжа,Іван від Хреста,Иоанн Креста,Йоан Кръстни,Janez od Križa,Jan od Kříže,John of the Cross
3353,Judd Trump,Джад Трамп,Джадд Трамп,Джадд Трамп,Джъд Тръмп,Judd Trump,Judd Trump,Judd Trump
3354,Allister Carter,Алістэр Картэр,Алі Картер,Али Картер,Алистър Картър,Allister Carter,Allister Carter,Ali Carter
3355,Kambyzes II,Камбіз II,Камбіс II,Камбис II,Камбис II,Kambiz II,Kambýsés II,Cambyses II
3356,Achemenes,Ахемен,Ахемен,Ахемен,Ахемен,Ahemen,Achaimenés,Achaemenes
3357,Wisztaspa,Гістасп,Віштаспа,Гистасп,Хистасп,Histasp,Hystaspés,Hystaspes
3358,Lazar I Hrebeljanović,Лазар Хрэбелянавіч,Лазар Хребелянович,Лазарь Хребелянович,Лазар Хребелянович,Lazar Hrebeljanović,Lazar Hrebeljanović,Lazar of Serbia
3359,Arses,Арсес,Артаксеркс IV,Арсес,Арсес,Artakserks IV,Arsés,Arses of Persia
3360,Judit Polgár,Юдзіт Полгар,Юдіт Полгар,Юдит Полгар,Юдит Полгар,Judit Polgar,Judit Polgárová,Judit Polgár
3361,Jamie Cope,Джэймі Коўп,Джеймі Коуп,Джейми Коуп,Джейми Коуп,Jamie Cope,Jamie Cope,Jamie Cope
3362,Konstantyn II ,Канстанцін II,Костянтин II ,Константин II,Константин II ,Konstantin II,Konstantin II,Constantine II
3363,Zsuzsa Polgár,Сьюзан Полгар,Сьюзен Полгар,Сьюзен Полгар,Жужа Полгар,Susan Polgar,Zsuzsa Polgárová,Susan Polgar
3364,Alan McManus,Алан Мак-Манус,Алан Макманус,Алан Макманус,Алън Макманъс,Alan McManus,Alan McManus,Alan McManus
3365,Diodor Sycylijski,Дыядор Сіцылійскі,Діодор Сицилійський,Диодор Сицилийский,Диодор Сицилийски,Diodor Sicilski,Diodóros Sicilský,Diodorus Siculus
3366,Seneka Starszy,Сенека Старэйшы,Сенека Старший,Луций Анней Сенека Старший,Сенека Стари,Seneka starejši,Seneca starší,Seneca the Elder
3367,Klodiusz Albinus,Клодзій Альбін,Клодій Альбін,Клодий Альбин,Клодий Албин,Klodij Albin,Clodius Albinus,Clodius Albinus
